permitnum,statuscurrent,applieddate,issueddate,completeddate,permittype,permittypemapped,permitclass,permitclassgroup,permitclassmapped,workclass,workclassgroup,workclassmapped,description,applicantname,contractorname,housingunits,estprojectcost,totalsqft,originaladdress,communitycode,communityname,latitude,longitude,locationcount,locationtypes,locationaddresses,locationswkt,locationsgeojson,point,:@computed_region_4b54_tmc4,:@computed_region_4a3i_ccfj,:@computed_region_kxmf_bzkv,:@computed_region_p8tp_5dkv,:@computed_region_qeuu_piif,:@computed_region_xxr9_iwz2
BP2022-18493,Completed,2022-11-04T00:00:00.000,2023-04-13T00:00:00.000,2024-06-20T00:00:00.000,Commercial / Multi Family Project,Building,1506 - Apt Apartment,Apartment,Residential,New,New,New,"New Building - Apartment, Parkade",LOGEL HOMES,,48,8243561.56,,#2101 55 LUCAS WY NW,LIV,LIVINGSTON,51.183779251060635,-114.08052433276508,50,Titled Parcel;Building;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite;Building Suite,#2000 55 LUCAS WY NW;#2000 55 LUCAS WY NW;#2105 55 LUCAS WY NW;#2104 55 LUCAS WY NW;#2210 55 LUCAS WY NW;#2201 55 LUCAS WY NW;#2207 55 LUCAS WY NW;#2402 55 LUCAS WY NW;#2110 55 LUCAS WY NW;#2205 55 LUCAS WY NW;#2309 55 LUCAS WY NW;#2102 55 LUCAS WY NW;#2204 55 LUCAS WY NW;#2306 55 LUCAS WY NW;#2302 55 LUCAS WY NW;#2407 55 LUCAS WY NW;#2107 55 LUCAS WY NW;#2304 55 LUCAS WY NW;#2403 55 LUCAS WY NW;#2212 55 LUCAS WY NW;#2202 55 LUCAS WY NW;#2308 55 LUCAS WY NW;#2307 55 LUCAS WY NW;#2406 55 LUCAS WY NW;#2101 55 LUCAS WY NW;#2301 55 LUCAS WY NW;#2112 55 LUCAS WY NW;#2311 55 LUCAS WY NW;#2206 55 LUCAS WY NW;#2409 55 LUCAS WY NW;#2211 55 LUCAS WY NW;#2103 55 LUCAS WY NW;#2305 55 LUCAS WY NW;#2106 55 LUCAS WY NW;#2303 55 LUCAS WY NW;#2408 55 LUCAS WY NW;#2209 55 LUCAS WY NW;#2412 55 LUCAS WY NW;#2310 55 LUCAS WY NW;#2109 55 LUCAS WY NW;#2111 55 LUCAS WY NW;#2108 55 LUCAS WY NW;#2410 55 LUCAS WY NW;#2404 55 LUCAS WY NW;#2208 55 LUCAS WY NW;#2401 55 LUCAS WY NW;#2203 55 LUCAS WY NW;#2312 55 LUCAS WY NW;#2411 55 LUCAS WY NW;#2405 55 LUCAS WY NW,"MULTIPOINT (-114.08052433276508 51.183779251060635,-114.08067068978853 51.184018999620946,-114.08075141024813 51.18402210824984,-114.08075532745272 51.184094650969,-114.0805951447161 51.183932428670964,-114.08058517550757 51.18418692883556,-114.08077188935508 51.18383181294974,-114.08067545602017 51.18419287162021,-114.08059514366578 51.18393182637387,-114.0807514112848 51.18402270155742,-114.08058494386216 51.18383259809013,-114.08067317853033 51.18419103033907,-114.08075532848946 51.18409524427658,-114.08075827465755 51.18393950780544,-114.08067545602017 51.18419287162021,-114.08077889608623 51.18383067543305,-114.08077188935508 51.18383181294974,-114.08076137899519 51.18409529403753,-114.08076911808939 51.18419399361856,-114.08059914668743 51.184053721502714,-114.080673179566 51.184191623646626,-114.08067197438127 51.183828969277315,-114.08077889608623 51.18383067543305,-114.08075827465755 51.18393950780544,-114.0805861328143 51.18418633486794,-114.08058556181453 51.18418699149612,-114.08059914773784 51.184054323799806,-114.08060129684087 51.18399075742632,-114.08075126478367 51.18393885640863,-114.08058494386216 51.18383259809013,-114.08059807636499 51.183989510101554,-114.08076968910237 51.18419334597899,-114.08076030924015 51.184023351651035,-114.08075032075102 51.18393885706016,-114.08076911808939 51.18419399361856,-114.08067197438127 51.183828969277315,-114.08058172650124 51.18383313068766,-114.08060425523783 51.18405496752677,-114.08059647400312 51.18393188838414,-114.08058361559672 51.183833722694935,-114.08059903470222 51.1839895094414,-114.08066592598165 51.183830106126905,-114.08059647400312 51.18393188838414,-114.08076137899519 51.18409529403753,-114.08066687001207 51.18383010547606,-114.08058556181453 51.18418699149612,-114.08076968910237 51.18419334597899,-114.08060425523783 51.18405496752677,-114.08060129684087 51.18399075742632,-114.08076030924015 51.184023351651035)","{""type"":""MultiPoint"",""coordinates"":[[-114.0805243,51.1837793],[-114.0806707,51.184019],[-114.0807514,51.1840221],[-114.0807553,51.1840947],[-114.0805951,51.1839324],[-114.0805852,51.1841869],[-114.0807719,51.1838318],[-114.0806755,51.1841929],[-114.0805951,51.1839318],[-114.0807514,51.1840227],[-114.0805849,51.1838326],[-114.0806732,51.184191],[-114.0807553,51.1840952],[-114.0807583,51.1839395],[-114.0806755,51.1841929],[-114.0807789,51.1838307],[-114.0807719,51.1838318],[-114.0807614,51.1840953],[-114.0807691,51.184194],[-114.0805991,51.1840537],[-114.0806732,51.1841916],[-114.080672,51.183829],[-114.0807789,51.1838307],[-114.0807583,51.1839395],[-114.0805861,51.1841863],[-114.0805856,51.184187],[-114.0805991,51.1840543],[-114.0806013,51.1839908],[-114.0807513,51.1839389],[-114.0805849,51.1838326],[-114.0805981,51.1839895],[-114.0807697,51.1841933],[-114.0807603,51.1840234],[-114.0807503,51.1839389],[-114.0807691,51.184194],[-114.080672,51.183829],[-114.0805817,51.1838331],[-114.0806043,51.184055],[-114.0805965,51.1839319],[-114.0805836,51.1838337],[-114.080599,51.1839895],[-114.0806659,51.1838301],[-114.0805965,51.1839319],[-114.0807614,51.1840953],[-114.0806669,51.1838301],[-114.0805856,51.184187],[-114.0807697,51.1841933],[-114.0806043,51.184055],[-114.0806013,51.1839908],[-114.0807603,51.1840234]]}","{'type': 'Point', 'coordinates': [-114.08052433276508, 51.183779251060635]}",11,2,246,12,212,3
BP2001-06764,Completed,2001-06-19T00:00:00.000,2001-06-19T00:00:00.000,2004-06-08T00:00:00.000,Residential Improvement Project,Building,1104 - Deck,Single Family,Residential,Alteration,Improvement,Existing,Deck,,,0,2923.95,,146 ELGIN WY SE,MCT,MCKENZIE TOWNE,50.90899099017153,-113.97344738738865,1,Titled Parcel,146 ELGIN WY SE,POINT (-113.97344738738865 50.90899099017153),"{""type"":""Point"",""coordinates"":[-113.9734474,50.908991]}","{'type': 'Point', 'coordinates': [-113.97344738738865, 50.90899099017153]}",4,3,46,8,218,12
BP2022-06793,Completed,2022-04-27T00:00:00.000,2022-10-12T00:00:00.000,2024-05-23T00:00:00.000,Commercial / Multi Family Project,Building,1706 - Rhs Rowhouse,Unspecified,Residential,New,New,New,"A new 4 unit rowhouse, Part 9, Group C occupancy",LOOK MASTER BUILDER CALGARY,LOOK MASTER BUILDER CALGARY,4,1265493.29,,4025B 2 ST NW,HPK,HIGHLAND PARK,51.08862379216763,-114.06726909183966,9,Titled Parcel;Building;Building;Building;Building;Building Suite;Building Suite;Building Suite;Building Suite,245 40 AV NW;4025 2 ST NW;241 40 AV NW;239 40 AV NW;237 40 AV NW;4025B 2 ST NW;239B 40 AV NW;241B 40 AV NW;237B 40 AV NW,"MULTIPOINT (-114.06726909183966 51.08862379216763,-114.06689791945963 51.08857266514764,-114.06714676065945 51.08857315177833,-114.0670651547505 51.08857256933988,-114.06697852527124 51.08857261899907,-114.06688490424051 51.08862406651721,-114.06709645898216 51.088622668770064,-114.06717907845449 51.088623259593966,-114.06701485389605 51.08862271557268)","{""type"":""MultiPoint"",""coordinates"":[[-114.0672691,51.0886238],[-114.0668979,51.0885727],[-114.0671468,51.0885732],[-114.0670652,51.0885726],[-114.0669785,51.0885726],[-114.0668849,51.0886241],[-114.0670965,51.0886227],[-114.0671791,51.0886233],[-114.0670149,51.0886227]]}","{'type': 'Point', 'coordinates': [-114.06726909183966, 51.08862379216763]}",2,2,259,4,121,4
BP2022-13527,Completed,2022-08-07T00:00:00.000,2022-08-15T00:00:00.000,2024-09-17T00:00:00.000,Residential Improvement Project,Building,1101 - Basement Development,Single Family,Residential,Alteration,Improvement,Existing,Basement Dev,,,0,41872.8,,50 HOWSE CM NE,LIV,LIVINGSTON,51.18386187380912,-114.06307723185965,2,Titled Parcel;Building,50 HOWSE CM NE;50 HOWSE CM NE,"MULTIPOINT (-114.06307723185965 51.18386187380912,-114.0630914707562 51.18375167260578)","{""type"":""MultiPoint"",""coordinates"":[[-114.0630772,51.1838619],[-114.0630915,51.1837517]]}","{'type': 'Point', 'coordinates': [-114.06307723185965, 51.18386187380912]}",11,4,246,12,212,3
BP2024-23372,Completed,2024-11-04T00:00:00.000,2024-11-18T00:00:00.000,2025-05-29T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,GARAGE,DECK,PORCH,",STERLING HOMES,STERLING HOMES,1,341211.7,2108,72 SORA TC SE,HKS,HOTCHKISS,50.909750969596516,-113.88360550361992,2,Titled Parcel;Building,72 SORA TC SE;72 SORA TC SE,"MULTIPOINT (-113.88360550361992 50.909750969596516,-113.88341620068536 50.909751266191)","{""type"":""MultiPoint"",""coordinates"":[[-113.8836055,50.909751],[-113.8834162,50.9097513]]}","{'type': 'Point', 'coordinates': [-113.88360550361992, 50.909750969596516]}",4,3,231,8,141,12
BP2024-23371,Completed,2024-11-04T00:00:00.000,2024-11-27T00:00:00.000,2025-08-14T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,GARAGE,DECK,PORCH,",TRUMAN HOMES 1995,TRUMAN HOMES 1995,1,381393.79,2355,55 WESTLAND PA SW,WSP,WEST SPRINGS,51.058196796317915,-114.2014399021463,2,Titled Parcel;Building,55 WESTLAND PA SW;55 WESTLAND PA SW,"MULTIPOINT (-114.2014399021463 51.058196796317915,-114.20143547584271 51.05807418411157)","{""type"":""MultiPoint"",""coordinates"":[[-114.2014399,51.0581968],[-114.2014355,51.0580742]]}","{'type': 'Point', 'coordinates': [-114.2014399021463, 51.058196796317915]}",1,1,114,14,178,6
BP2023-05412,Completed,2023-04-21T00:00:00.000,2023-05-03T00:00:00.000,2024-05-22T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,FIREPLACE,GARAGE,PORCH,",MATTAMY HOMES CALGARY,MATTAMY (NORTHPOINT),1,430345.82,2672,95 CITYLINE PT NE,CSC,CITYSCAPE,51.140668751707445,-113.94965280799406,2,Titled Parcel;Building,95 CITYLINE PT NE;95 CITYLINE PT NE,"MULTIPOINT (-113.94965280799406 51.140668751707445,-113.9496099345225 51.14059272629953)","{""type"":""MultiPoint"",""coordinates"":[[-113.9496528,51.1406688],[-113.9496099,51.1405927]]}","{'type': 'Point', 'coordinates': [-113.94965280799406, 51.140668751707445]}",11,4,176,1,15,5
BP2023-13811,Completed,2023-08-18T00:00:00.000,2023-09-13T00:00:00.000,2024-11-04T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,BSMT-DEV,GARAGE,DECK,PORCH,",HOMES BY AVI (CALGARY),HOMES BY AVI (CALGARY),1,436613.37,2568,44 VERITY PL SW,ALP,ALPINE PARK,50.918130233776616,-114.15458086115099,2,Titled Parcel;Building,44 VERITY PL SW;44 VERITY PL SW,"MULTIPOINT (-114.15458086115099 50.918130233776616,-114.1547122614296 50.91822153234563)","{""type"":""MultiPoint"",""coordinates"":[[-114.1545809,50.9181302],[-114.1547123,50.9182215]]}","{'type': 'Point', 'coordinates': [-114.15458086115099, 50.918130233776616]}",5,1,255,6,24,13
BP2023-13089,Completed,2023-08-09T00:00:00.000,2023-09-10T00:00:00.000,2024-02-22T00:00:00.000,Residential Improvement Project,Building,1301 - Private Detached Garage,Garage,Residential,New,New,New,Garage,JOHN TRINH & ASSOCIATES,SANDHAR CUSTOM HOMES,0,38576,,916 42 ST SW,RCK,ROSSCARROCK,51.044441272987136,-114.14816396762582,2,Titled Parcel;Building,916 42 ST SW;916 42 ST SW,"MULTIPOINT (-114.14816396762582 51.044441272987136,-114.14797462400098 51.04444376029438)","{""type"":""MultiPoint"",""coordinates"":[[-114.148164,51.0444413],[-114.1479746,51.0444438]]}","{'type': 'Point', 'coordinates': [-114.14816396762582, 51.044441272987136]}",14,1,281,2,114,8
BP2018-14029,Completed,2018-10-21T00:00:00.000,2019-07-24T00:00:00.000,2024-02-22T00:00:00.000,Residential Improvement Project,Building,1101 - Improvements (Single Family),Single Family,Residential,Alteration,Improvement,Existing,,,,0,18000,,836 MAPLEWOOD CR SE,MPL,MAPLE RIDGE,50.96322411176216,-114.04287279648315,2,Titled Parcel;Building,836 MAPLEWOOD CR SE;836 MAPLEWOOD CR SE,"MULTIPOINT (-114.04287279648315 50.96322411176216,-114.04302002965505 50.96315567176615)","{""type"":""MultiPoint"",""coordinates"":[[-114.0428728,50.9632241],[-114.04302,50.9631557]]}","{'type': 'Point', 'coordinates': [-114.04287279648315, 50.96322411176216]}",6,3,93,5,284,11
BP2023-17359,Completed,2023-10-10T00:00:00.000,2024-02-22T00:00:00.000,2024-05-10T00:00:00.000,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,New,New,Additional Dwelling Unit,CARDEL HOMES,CARDEL HOMES,1,88250.3,,149G TREELINE AV SW,ALP,ALPINE PARK,50.91671818840559,-114.1445409833983,2,Titled Parcel;Building,149 TREELINE AV SW;149G TREELINE AV SW,"MULTIPOINT (-114.1445409833983 50.91671818840559,-114.14465070546684 50.916531196689796)","{""type"":""MultiPoint"",""coordinates"":[[-114.144541,50.9167182],[-114.1446507,50.9165312]]}","{'type': 'Point', 'coordinates': [-114.1445409833983, 50.91671818840559]}",5,1,255,6,24,13
BP2023-16105,Completed,2023-09-20T00:00:00.000,2023-10-10T00:00:00.000,2024-03-27T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,GARAGE,PORCH,SSuite",SHANE HOMES,SHANE HOMES,1,439538.79,2581,257B BELMONT GR SW,BLM,BELMONT,50.87089871663989,-114.06772720428273,3,Titled Parcel;Building;Building Suite,257 BELMONT GR SW;257 BELMONT GR SW;257B BELMONT GR SW,"MULTIPOINT (-114.06772720428273 50.87089871663989,-114.06792287364499 50.8708912671024,-114.0679473931498 50.870860111460196)","{""type"":""MultiPoint"",""coordinates"":[[-114.0677272,50.8708987],[-114.0679229,50.8708913],[-114.0679474,50.8708601]]}","{'type': 'Point', 'coordinates': [-114.06772720428273, 50.87089871663989]}",6,3,113,6,18,13
BP2023-13091,Completed,2023-08-09T00:00:00.000,2023-09-10T00:00:00.000,2024-02-22T00:00:00.000,Residential Improvement Project,Building,1301 - Private Detached Garage,Garage,Residential,New,New,New,Garage,JOHN TRINH & ASSOCIATES,SANDHAR CUSTOM HOMES,0,38576,,914 42 ST SW,RCK,ROSSCARROCK,51.044441272987136,-114.14816396762582,2,Titled Parcel;Building,916 42 ST SW;914 42 ST SW,"MULTIPOINT (-114.14816396762582 51.044441272987136,-114.14797569575062 51.04451159551314)","{""type"":""MultiPoint"",""coordinates"":[[-114.148164,51.0444413],[-114.1479757,51.0445116]]}","{'type': 'Point', 'coordinates': [-114.14816396762582, 51.044441272987136]}",14,1,281,2,114,8
BP2024-25625,Completed,2024-12-11T00:00:00.000,2024-12-12T00:00:00.000,2025-04-16T00:00:00.000,Residential Improvement Project,Building,1101 - Basement Development,Single Family,Residential,Alteration,Improvement,Existing,Basement Dev,,,0,44454,,83 ROCKY RIDGE DR NW,ROC,ROCKY RIDGE,51.142081171597795,-114.2375292338266,2,Titled Parcel;Building,83 ROCKY RIDGE DR NW;83 ROCKY RIDGE DR NW,"MULTIPOINT (-114.2375292338266 51.142081171597795,-114.23736292857807 51.142060644346564)","{""type"":""MultiPoint"",""coordinates"":[[-114.2375292,51.1420812],[-114.2373629,51.1420606]]}","{'type': 'Point', 'coordinates': [-114.2375292338266, 51.142081171597795]}",13,2,193,9,198,1
BP2025-00264,Completed,2025-01-07T00:00:00.000,2025-01-09T00:00:00.000,2025-03-13T00:00:00.000,Residential Improvement Project,Building,1301 - Private Detached Garage,Garage,Residential,New,New,New,Garage,,BVM GARAGE BUILDERS,0,46676.96,,133 MARMOT WK NW,GLR,GLACIER RIDGE,51.18664924197135,-114.17052308708303,1,Titled Parcel,133 MARMOT WK NW,POINT (-114.17052308708303 51.18664924197135),"{""type"":""Point"",""coordinates"":[-114.1705231,51.1866492]}","{'type': 'Point', 'coordinates': [-114.17052308708303, 51.18664924197135]}",3,2,225,10,163,2
BP2024-23332,Completed,2024-11-04T00:00:00.000,2024-11-21T00:00:00.000,2025-11-13T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,BSMT-DEV,FIREPLACE,DECK,PORCH,",SANGRA DEVELOPMENTS,SANGRA DEVELOPMENTS,1,476136.93,2731,1722 32 AV SW,SOC,SOUTH CALGARY,51.02503329482335,-114.10092401983832,2,Titled Parcel;Building,1722 32 AV SW;1722 32 AV SW,"MULTIPOINT (-114.10092401983832 51.02503329482335,-114.10091989238647 51.02512157789333)","{""type"":""MultiPoint"",""coordinates"":[[-114.100924,51.0250333],[-114.1009199,51.0251216]]}","{'type': 'Point', 'coordinates': [-114.10092401983832, 51.02503329482335]}",14,1,207,2,91,8
BP2022-19785,Completed,2022-12-06T00:00:00.000,2023-04-11T00:00:00.000,2024-02-22T00:00:00.000,Commercial / Multi Family Project,Building,3203 - Warehouse,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior alterations (Unit-Select).,GEC ARCHITECTURE,,0,1167000,,#110 1710 104 AV NE,ST2,STONEY 2,51.147011296623916,-114.01841731469113,3,Titled Parcel;Building;Building Suite,1660 104 AV NE;1710 104 AV NE;#110 1710 104 AV NE,"MULTIPOINT (-114.01841731469113 51.147011296623916,-114.0172720471327 51.14832149498773,-114.01729510663154 51.14764828040203)","{""type"":""MultiPoint"",""coordinates"":[[-114.0184173,51.1470113],[-114.017272,51.1483215],[-114.0172951,51.1476483]]}","{'type': 'Point', 'coordinates': [-114.01841731469113, 51.147011296623916]}",11,4,13,1,25,5
BP2023-17223,Completed,2023-10-05T00:00:00.000,2023-10-13T00:00:00.000,2024-05-23T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,PORCH,",MORRISON HOMES (CALGARY),MORRISON HOMES (CALGARY),1,264895.05,1755,24 BELMONT GR SW,BLM,BELMONT,50.871611938783204,-114.06232033240697,2,Titled Parcel;Building,24 BELMONT GR SW;24 BELMONT GR SW,"MULTIPOINT (-114.06232033240697 50.871611938783204,-114.06220033084541 50.87157765199157)","{""type"":""MultiPoint"",""coordinates"":[[-114.0623203,50.8716119],[-114.0622003,50.8715777]]}","{'type': 'Point', 'coordinates': [-114.06232033240697, 50.871611938783204]}",6,3,113,6,18,13
BP2023-04045,Completed,2023-03-29T00:00:00.000,2023-04-25T00:00:00.000,2024-02-22T00:00:00.000,Residential Improvement Project,Building,1301 - Private Detached Garage,Garage,Residential,New,New,New,Garage,,,0,108495,,13 WESTMINSTER PL SW,WGT,WESTGATE,51.04605170512848,-114.15880799978231,2,Titled Parcel;Building,13 WESTMINSTER PL SW;13 WESTMINSTER PL SW,"MULTIPOINT (-114.15880799978231 51.04605170512848,-114.15892807661812 51.046038866384485)","{""type"":""MultiPoint"",""coordinates"":[[-114.158808,51.0460517],[-114.1589281,51.0460389]]}","{'type': 'Point', 'coordinates': [-114.15880799978231, 51.04605170512848]}",14,1,234,14,154,6
BP2023-12621,Completed,2023-08-02T00:00:00.000,2023-08-25T00:00:00.000,2024-02-22T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,GARAGE,DECK,PORCH,",CEDARGLEN GROUP (THE),CEDARGLEN GROUP (THE),1,368234.79,2287,39 ROYSTON HE NW,HSN,HASKAYNE,51.107957951007656,-114.27103005740815,2,Titled Parcel;Building,39 ROYSTON HE NW;39 ROYSTON HE NW,"MULTIPOINT (-114.27103005740815 51.107957951007656,-114.2709676768745 51.107842308799846)","{""type"":""MultiPoint"",""coordinates"":[[-114.2710301,51.107958],[-114.2709677,51.1078423]]}","{'type': 'Point', 'coordinates': [-114.27103005740815, 51.107957951007656]}",13,2,253,9,142,1
BP2023-16376,Completed,2023-09-23T00:00:00.000,2023-10-02T00:00:00.000,2024-02-22T00:00:00.000,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,Improvement,Existing,Secondary Suite,,,1,56764.5,,146B HOWSE CM NE,LIV,LIVINGSTON,51.1839712639841,-114.0601996068551,3,Titled Parcel;Building;Building Suite,146 HOWSE CM NE;146 HOWSE CM NE;146B HOWSE CM NE,"MULTIPOINT (-114.0601996068551 51.1839712639841,-114.06006210715023 51.18392749276447,-114.0600961999408 51.18391123119788)","{""type"":""MultiPoint"",""coordinates"":[[-114.0601996,51.1839713],[-114.0600621,51.1839275],[-114.0600962,51.1839112]]}","{'type': 'Point', 'coordinates': [-114.0601996068551, 51.1839712639841]}",11,4,246,12,212,3
BP2025-16501,Issued Permit,2025-08-25T00:00:00.000,2025-12-12T00:00:00.000,,Commercial / Multi Family Project,Building,5401 - Church,Institutional,Non-Residential,Alteration,Improvement,Existing,Exterior alteration,,,0,72000,,458 35 AV NW,HPK,HIGHLAND PARK,51.08428842466935,-114.07123196618336,2,Titled Parcel;Building,458 35 AV NW;458 35 AV NW,"MULTIPOINT (-114.07123196618336 51.08428842466935,-114.07121894908813 51.084427646678876)","{""type"":""MultiPoint"",""coordinates"":[[-114.071232,51.0842884],[-114.0712189,51.0844276]]}","{'type': 'Point', 'coordinates': [-114.07123196618336, 51.08428842466935]}",2,2,259,4,121,4
BP2023-16198,Completed,2023-09-21T00:00:00.000,2023-10-04T00:00:00.000,2024-05-23T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,BSMT-DEV,GARAGE,DECK,PORCH,",CEDARGLEN GROUP (THE),CEDARGLEN GROUP (THE),1,382682.71,2236,70 EDITH RO NW,GLR,GLACIER RIDGE,51.18768641579451,-114.16818863758806,2,Titled Parcel;Building,70 EDITH RO NW;70 EDITH RO NW,"MULTIPOINT (-114.16818863758806 51.18768641579451,-114.16819834962281 51.18780014623304)","{""type"":""MultiPoint"",""coordinates"":[[-114.1681886,51.1876864],[-114.1681983,51.1878001]]}","{'type': 'Point', 'coordinates': [-114.16818863758806, 51.18768641579451]}",3,2,225,10,163,2
BP2024-19239,Completed,2024-09-11T00:00:00.000,2024-10-04T00:00:00.000,2025-06-18T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,BSMT-DEV,FIREPLACE,GARAGE,PORCH,",BROOKFIELD RESIDENTIAL (ALBERTA),BROOKFIELD RESIDENTIAL (ALBERTA),1,355388.51,1786,18 ROWMONT GV NW,HSN,HASKAYNE,51.10590809743317,-114.2768762820246,2,Titled Parcel;Building,18 ROWMONT GV NW;18 ROWMONT GV NW,"MULTIPOINT (-114.2768762820246 51.10590809743317,-114.27670717344441 51.105877555318244)","{""type"":""MultiPoint"",""coordinates"":[[-114.2768763,51.1059081],[-114.2767072,51.1058776]]}","{'type': 'Point', 'coordinates': [-114.2768762820246, 51.10590809743317]}",13,2,253,9,142,1
BP2025-03160,Issued Permit,2025-02-25T00:00:00.000,2025-08-18T00:00:00.000,,Residential Improvement Project,Building,1101 - Improvements (Single Family),Single Family,Residential,Alteration,Improvement,Existing,"Improvements, Retaining Wall",,,0,10500,,8 HYSLOP DR SW,HAY,HAYSBORO,50.976826958687475,-114.07757478960731,2,Titled Parcel;Building,8 HYSLOP DR SW;8 HYSLOP DR SW,"MULTIPOINT (-114.07757478960731 50.976826958687475,-114.07753607060842 50.97691191140873)","{""type"":""MultiPoint"",""coordinates"":[[-114.0775748,50.976827],[-114.0775361,50.9769119]]}","{'type': 'Point', 'coordinates': [-114.07757478960731, 50.976826958687475]}",8,1,195,5,12,11
